station_name,wigos_station_identifier,wigos_station_identifier,facility_type,latitude,longitude,elevation,barometer_height,territory_name,WMO Region,Declared reporting status,Assessed reporting status,Last updated by
AURILLAC,0-20000-0-07549,07549,Land (fixed),44.8986111111,2.4211111111,639,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
SALLES LA SOURCE,0-20000-0-07552,07552,Land (fixed),44.4102777778,2.4825,582,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
MENDE,0-20000-0-07554,07554,Land (fixed),44.5336111111,3.4544444444,932,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
MILLAU,0-20000-0-07558,07558,Land (fixed),44.1186111111,3.0194444444,712,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
MONT AIGOUAL,0-20000-0-07560,07560,Land (fixed),44.1213888889,3.5813888889,1567,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
AVIGNON,0-20000-0-07563,07563,Land (fixed),43.9113888889,4.9025,38,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
BOLLENE-RADAR,0-20000-0-07569,07569,Land (fixed),44.3230555556,4.7622222222,309,,France,6,Operational,Unknown,
LANAS SYN,0-20000-0-07570,07570,Land (fixed),44.537167,4.368167,265,,France,6,Operational,Partly operational,Joel GUEUSQUIN
MONT-MAUREL RADAR,0-20000-0-07572,07572,Land (fixed),44.0127777778,6.5291666667,1772,,France,6,Operational,Unknown,
MONTELIMAR,0-20000-0-07577,07577,Land (fixed),44.5811111111,4.7330555556,73,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
MONT-COLOMBIS RADAR,0-20000-0-07578,07578,Land (fixed),44.49611,6.22027,1724,,France,6,Operational,Unknown,Jean-Pierre AUBAGNAC
ORANGE,0-20000-0-07579,07579,Land (fixed),44.1444444444,4.8611111111,60,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
CARPENTRAS,0-20000-0-07586,07586,Land (fixed),44.0830555556,5.0591666667,99,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
ST-AUBAN-SUR-DURANCE,0-20000-0-07588,07588,Land (fixed),44.0622222222,5.9897222222,459,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
EMBRUN,0-20000-0-07591,07591,Land (fixed),44.5655555556,6.5022222222,871,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
VILLAR SAINT PANCRACE,0-20000-0-07593,07593,Land (fixed),44.88033,6.640333,1310,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
POINTE DE SOCOA,0-20000-0-07600,07600,Land (fixed),43.3944444444,-1.6863888889,21,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
BIARRITZ-ANGLET,0-20000-0-07602,07602,Land (fixed),43.4694444444,-1.5344444444,75,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
DAX,0-20000-0-07603,07603,Land (fixed),43.6897222222,-1.07,33,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
MOMUY RADAR,0-20000-0-07606,07606,Land (fixed),43.6244444444,-0.6094444444,126,,France,6,Operational,Unknown,"FRA,NCL,PYF,SPM NMHS"
MONT-DE-MARSAN,0-20000-0-07607,07607,Land (fixed),43.9097222222,-0.5002777778,62,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
PAU-UZEIN,0-20000-0-07610,07610,Land (fixed),43.385,-0.4163888889,188,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
TOULOUSE RW,0-20000-0-07618,07618,Land (fixed),43.5769444444,1.3744444444,158,,France,6,Operational,Silent,Jean-Pierre AUBAGNAC
TARBES-OSSUN,0-20000-0-07621,07621,Land (fixed),43.1880555556,0,384,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
AUCH,0-20000-0-07622,07622,Land (fixed),43.6888888889,0.6011111111,125,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
SAINT GIRONS,0-20000-0-07627,07627,Land (fixed),43.0052777778,1.1069444444,419,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
MURET-LHERM,0-20000-0-07628,07628,Land (fixed),43.4513888889,1.2619444444,190,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
TOULOUSE RADAR,0-20000-0-07629,07629,Land (fixed),43.5744444444,1.3763888889,158,,France,6,Operational,Unknown,
TOULOUSE BLAGNAC,0-20000-0-07630,07630,Land (fixed),43.6211111111,1.3788888889,152,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
ALBI,0-20000-0-07632,07632,Land (fixed),43.9147222222,2.1163888889,172,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
CARCASSONNE,0-20000-0-07635,07635,Land (fixed),43.2152777778,2.2955555556,132,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
MONTCLAR RADAR,0-20000-0-07637,07637,Land (fixed),43.9905555556,2.6097222222,667,,France,6,Operational,Unknown,
BEZIERS-VIAS,0-20000-0-07638,07638,Land (fixed),43.3219444444,3.3527777778,17,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
SETE,0-20000-0-07641,07641,Land (fixed),43.3972222222,3.6922222222,80,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
MONTPELLIER,0-20000-0-07643,07643,Land (fixed),43.5769444444,3.9630555556,5,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
NIMES-COURBESSAC,0-20000-0-07645,07645,Land (fixed),43.8569444444,4.4063888889,60,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
NIMES GARONS,0-20000-0-07646,07646,Land (fixed),43.7594444444,4.4172222222,94,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
ISTRES,0-20000-0-07647,07647,Land (fixed),43.5230555556,4.9222222222,25,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
SALON DE PROVENCE,0-20000-0-07648,07648,Land (fixed),43.6036111111,5.1041666667,60,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
MARIGNANE,0-20000-0-07650,07650,Land (fixed),43.4377777778,5.2161111111,21,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
NIMES-RADAR,0-20000-0-07658,07658,Land (fixed),43.8061111111,4.5027777778,71,,France,6,Operational,Unknown,
CAP CEPET,0-20000-0-07661,07661,Land (fixed),43.0794444444,5.9408333333,115,,France,6,Operational,Operational,Joel GUEUSQUIN
LEUCATE,0-20000-0-07666,07666,Land (fixed),42.9183333333,3.0616666667,42,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
HYERES,0-20000-0-07667,07667,Land (fixed),43.0944444444,6.1463888889,4,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
COLLOBRIERES-RADAR,0-20000-0-07671,07671,Land (fixed),43.2166666667,6.3727777778,641,,France,6,Operational,Unknown,
LE LUC,0-20000-0-07675,07675,Land (fixed),43.3830555556,6.3861111111,81,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
CANNES,0-20000-0-07684,07684,Land (fixed),43.5563888889,6.9505555556,4,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
NICE,0-20000-0-07690,07690,Land (fixed),43.6488888889,7.2088888889,4,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
VARS-MAYT RADAR,0-20000-0-07714,07714,Land (fixed),44.5875,6.6530555556,2575,,France,6,Operational,Unknown,
OPOUL-RADAR,0-20000-0-07745,07745,Land (fixed),42.9183333333,2.865,702,,France,6,Operational,Unknown,
PERPIGNAN,0-20000-0-07747,07747,Land (fixed),42.7372222222,2.8727777778,44,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
CAP BEAR,0-20000-0-07749,07749,Land (fixed),42.5166666667,3.135,82,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
ILE ROUSSE,0-20000-0-07753,07753,Land (fixed),42.6330555556,8.9227777778,142,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
CALVI,0-20000-0-07754,07754,Land (fixed),42.5294444444,8.7913888889,64,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
AJACCIO,0-20000-0-07761,07761,Land (fixed),41.9180555556,8.7927777778,6,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
SOLENZARA,0-20000-0-07765,07765,Land (fixed),41.9238888889,9.3972222222,9,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
CAP PERTUSATO,0-20000-0-07770,07770,Land (fixed),41.3747222222,9.1783333333,107,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
ALERIA RADAR,0-20000-0-07774,07774,Land (fixed),42.1297222222,9.4963888889,50,,France,6,Operational,Unknown,Léa LABEUR
ALISTRO,0-20000-0-07775,07775,Land (fixed),42.2597222222,9.5413888889,65,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
FIGARI,0-20000-0-07780,07780,Land (fixed),41.5052777778,9.1036111111,27,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
CAP CORSE,0-20000-0-07785,07785,Land (fixed),43.0038888889,9.3594444444,72,,France,6,Operational,Partly operational,"FRA,NCL,PYF,SPM NMHS"
BASTIA,0-20000-0-07790,07790,Land (fixed),42.5405555556,9.4852777778,8,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
OPME_VHF_COPDD,0-250-1002-07453,07453,Land (fixed),45.712718,3.090111,650,,France,6,Operational,Unknown,Joel GUEUSQUIN
AULNAT_UHF_COPDD,0-250-1002-07462,07462,Land (fixed),45.79965,3.1514,330,,France,6,Unknown,Unknown,Joel GUEUSQUIN
Nagykanizsa,"0-348-1-17809,0-20000-0-12925",12925,Land (fixed),46.456111,16.970556,138.8,,Hungary,6,Operational,Operational,Imre Szöll?si
PASSO ROLLE,0-20000-0-16021,16021,Land (fixed),46.2977777778,11.7866666667,2004,,Italy,6,Operational,Partly operational,Piero Serra
PAGANELLA,0-20000-0-16022,16022,Land (fixed),46.1597222222,11.0341666667,2125,,Italy,6,Operational,Operational,Piero Serra
TRENTO,0-20000-0-16023,16023,Land (fixed),46.0202777778,11.1266666667,188,,Italy,6,Operational,Silent,
AVIANO (16036-0),0-20000-0-16036,16036,Land (fixed),46.0286111111,12.6033333333,126,,Italy,6,Operational,Partly operational,Piero Serra
AVIANO (16037-0),0-20000-0-16037,16037,Land (fixed),46.0302777778,12.5991666667,113,,Italy,6,Silent,Unknown,Piero Serra
UDINE/RIVOLTO,0-20000-0-16045,16045,Land (fixed),45.9755555556,13.0491666667,51,,Italy,6,Operational,Operational,Piero Serra
PIAN ROSA,0-20000-0-16052,16052,Land (fixed),45.935,7.7061111111,3480,,Italy,6,Operational,Partly operational,Piero Serra
AOSTA POLLEIN,0-20000-0-16054,16054,Land (fixed),45.7347222222,7.3505555556,550,,Italy,6,Operational,Silent,Piero Serra
BOUSSON VALLE DI SUSA,0-20000-0-16058,16058,Land (fixed),44.9338888889,6.8222222222,1399,,Italy,6,Operational,Silent,
TORINO CASELLE,0-20000-0-16059,16059,Land (fixed),45.2025,7.6494444444,301,,Italy,6,Operational,Operational,Piero Serra
TORINO VENARIA REALE,0-20000-0-16060,16060,Land (fixed),45.1305555556,7.6175,276,,Italy,6,Operational,Silent,
BRIC DELLA CROCE,0-20000-0-16061,16061,Land (fixed),45.0333333333,7.7316666667,709,,Italy,6,Operational,Operational,
NOVARA/CAMERI,0-20000-0-16064,16064,Land (fixed),45.53,8.6666666667,178,,Italy,6,Operational,Partly operational,Piero Serra
MILANO MALPENSA,0-20000-0-16066,16066,Land (fixed),45.63,8.7230555556,234,,Italy,6,Operational,Operational,Piero Serra
GALLARATE,0-20000-0-16067,16067,Land (fixed),45.6477777778,8.8136111111,237,,Italy,6,Operational,Unknown,
CASALE MONFERRATO,0-20000-0-16068,16068,Land (fixed),45.1127777778,8.4536111111,119,,Italy,6,Operational,Silent,
MONTE BISBINO,0-20000-0-16073,16073,Land (fixed),45.8733333333,9.0652777778,1322,,Italy,6,Operational,Unknown,
BERGAMO ORIO AL SERIO,0-20000-0-16076,16076,Land (fixed),45.6688888889,9.7002777778,238,,Italy,6,Operational,Silent,Piero Serra
MILANO/LINATE (16080-0),0-20000-0-16080,16080,Land (fixed),45.4494444444,9.2783333333,108,,Italy,6,Operational,Operational,Piero Serra
MILANO/LINATE (16081-0),0-20000-0-16081,16081,Land (fixed),45.46,9.2583333333,107,,Italy,6,Silent,Unknown,Piero Serra
PIACENZA S. DAMIANO,0-20000-0-16084,16084,Land (fixed),44.9091666667,9.7277777778,138,,Italy,6,Operational,Operational,Piero Serra
BRESCIA/GHEDI,0-20000-0-16088,16088,Land (fixed),45.4205555556,10.2813888889,102,,Italy,6,Operational,Operational,Piero Serra
DESENZANO,0-20000-0-16089,16089,Land (fixed),45.4644444444,10.5552777778,64,,Italy,6,Operational,Silent,Piero Serra
VERONA/VILLAFRANCA,0-20000-0-16090,16090,Land (fixed),45.3880555556,10.8733333333,73,,Italy,6,Operational,Operational,Piero Serra
TREVISO/ISTRANA,0-20000-0-16098,16098,Land (fixed),45.6838888889,12.1066666667,42,,Italy,6,Operational,Operational,Piero Serra
TREVISO/S. ANGELO,0-20000-0-16099,16099,Land (fixed),45.65,12.1833333333,18,,Italy,6,Operational,Operational,Piero Serra
VENEZIA LIDO,0-20000-0-16101,16101,Land (fixed),45.4275,12.3841666667,4,,Italy,6,Operational,Partly operational,Piero Serra
VENEZIA TESSERA,0-20000-0-16105,16105,Land (fixed),45.5052777778,12.3519444444,2,,Italy,6,Operational,Operational,Piero Serra
CONCORDIA SAGITTARIA,0-20000-0-16107,16107,Land (fixed),45.7611111111,12.8569444444,1,,Italy,6,Operational,Partly operational,
RONCHI DEI LEGIONARI,0-20000-0-16108,16108,Land (fixed),45.8275,13.4722222222,12,,Italy,6,Operational,Operational,Piero Serra
TRIESTE,0-20000-0-16110,16110,Land (fixed),45.6769444444,13.7547222222,3,,Italy,6,Operational,Operational,Piero Serra
MONTE SETTEPANI,0-20000-0-16111,16111,Land (fixed),44.2425,8.2011111111,1381,,Italy,6,Operational,Silent,Piero Serra
CUNEO-LEVALDIGI RDS,0-20000-0-16113,16113,Land (fixed),44.5391666667,7.6125,385,,Italy,6,Operational,Partly operational,
MONDOVI,0-20000-0-16114,16114,Land (fixed),44.3902777778,7.8291666667,559,,Italy,6,Operational,Operational,Piero Serra
CUNEO LEVALDIGI,0-20000-0-16117,16117,Land (fixed),44.5530555556,7.625,385,,Italy,6,Operational,Unknown,
PASSO DEI GIOVI (16119-0),0-20000-0-16119,16119,Land (fixed),44.5522222222,8.9375,487,,Italy,6,Operational,Partly operational,Piero Serra
GENOVA/SESTRI,0-20000-0-16120,16120,Land (fixed),44.4133333333,8.8375,4,,Italy,6,Operational,Operational,Piero Serra
GENOVA,0-20000-0-16121,16121,Land (fixed),44.4194444444,8.9211111111,44,,Italy,6,Operational,Silent,Piero Serra
ALBENGA,0-20000-0-16122,16122,Land (fixed),44.0458333333,8.1255555556,45,,Italy,6,Operational,Unknown,
CHIAVARI,0-20000-0-16123,16123,Land (fixed),44.3261111111,9.3472222222,29,,Italy,6,Operational,Silent,
SARZANA-LUNI,0-20000-0-16125,16125,Land (fixed),44.0872222222,9.985,13.71,,Italy,6,Operational,Partly operational,Piero Serra
PASSO DEI GIOVI (16126-0),0-20000-0-16126,16126,Land (fixed),44.5522222222,8.9375,487,,Italy,6,Operational,Unknown,
LA SPEZIA-LA CASTELLANA,0-20000-0-16129,16129,Land (fixed),44.0669444444,9.8163888889,520,,Italy,6,Operational,Silent,
PARMA,0-20000-0-16130,16130,Land (fixed),44.8172222222,10.2969444444,50,,Italy,6,Operational,Unknown,
PARMA PANNOCCHIA,0-20000-0-16131,16131,Land (fixed),44.6833333333,10.3125,180,,Italy,6,Operational,Unknown,
BOLOGNA,0-20000-0-16132,16132,Land (fixed),44.5275,11.2886111111,51,,Italy,6,Operational,Partly operational,
FERRARA (16133-0),0-20000-0-16133,16133,Land (fixed),44.8152777778,11.6125,9,,Italy,6,Operational,Partly operational,Piero Serra
MONTE CIMONE,0-20000-0-16134,16134,Land (fixed),44.19353,10.700807,2165,,Italy,6,Operational,Operational,Daniele Biron
PASSO PORRETTA,0-20000-0-16135,16135,Land (fixed),44.0283333333,11.0041666667,1313,,Italy,6,Operational,Unknown,
FERRARA (16138-0),0-20000-0-16138,16138,Land (fixed),44.8155555556,11.6125,8,,Italy,6,Operational,Partly operational,Piero Serra
BOLOGNA/BORGO PANIGALE,0-20000-0-16140,16140,Land (fixed),44.5308333333,11.2969444444,37,,Italy,6,Operational,Operational,Piero Serra
VOLANO,0-20000-0-16141,16141,Land (fixed),44.8138888889,12.2491666667,3,,Italy,6,Operational,Unknown,
ROLO,0-20000-0-16143,16143,Land (fixed),44.8852777778,10.8744444444,21,,Italy,6,Operational,Partly operational,Piero Serra
S. PIETRO CAPOFIUME RDS,0-20000-0-16144,16144,Land (fixed),44.6538888889,11.6225,10,,Italy,6,Operational,Partly operational,
PUNTA MARINA,0-20000-0-16146,16146,Land (fixed),44.4413888889,12.2961111111,2,,Italy,6,Operational,Partly operational,Piero Serra
FORLI,0-20000-0-16147,16147,Land (fixed),44.1955555556,12.0697222222,30,,Italy,6,Operational,Silent,Piero Serra
CERVIA,0-20000-0-16148,16148,Land (fixed),44.2288888889,12.2919444444,6,,Italy,6,Operational,Operational,Piero Serra
RIMINI,0-20000-0-16149,16149,Land (fixed),44.0244444444,12.6127777778,12,,Italy,6,Operational,Operational,Piero Serra
IMPERIA,0-20000-0-16150,16150,Land (fixed),43.8666666667,8.0333333333,58,,Italy,6,Operational,Unknown,
CAPO MELE,0-20000-0-16153,16153,Land (fixed),43.9572222222,8.1697222222,220,,Italy,6,Operational,Operational,Piero Serra
ISOLA GORGONA,0-20000-0-16154,16154,Land (fixed),43.4280555556,9.8941666667,254,,Italy,6,Silent,Unknown,Piero Serra
ISOLA CAPRAIA,0-20000-0-16155,16155,Land (fixed),43.0513888889,9.8441666667,25,,Italy,6,Operational,Unknown,
PISA S. GIUSTO,0-20000-0-16158,16158,Land (fixed),43.6825,10.3955555556,2,,Italy,6,Operational,Operational,Piero Serra
MONTE ARGENTARIO,0-20000-0-16168,16168,Land (fixed),42.3869444444,11.1697222222,630.7,,Italy,6,Operational,Operational,Piero Serra
FIRENZE PERETOLA,0-20000-0-16170,16170,Land (fixed),43.8086111111,11.2027777778,43,,Italy,6,Operational,Operational,Piero Serra
FIRENZE,0-20000-0-16171,16171,Land (fixed),43.7855555556,11.2158333333,17,,Italy,6,Silent,Unknown,Piero Serra
AREZZO,0-20000-0-16172,16172,Land (fixed),43.4597222222,11.8455555556,248,,Italy,6,Operational,Operational,Piero Serra
FRONTONE,0-20000-0-16179,16179,Land (fixed),43.5169444444,12.7277777778,570,,Italy,6,Operational,Operational,Piero Serra
PERUGIA S. EGIDIO (16181-0),0-20000-0-16181,16181,Land (fixed),43.0972222222,12.5102777778,212,,Italy,6,Operational,Unknown,
PERUGIA S. EGIDIO (16182-0),0-20000-0-16182,16182,Land (fixed),43.0925,12.5047222222,204,,Italy,6,Operational,Unknown,
ANCONA,0-20000-0-16190,16190,Land (fixed),43.6113888889,13.5252777778,141,,Italy,6,Operational,Silent,Piero Serra
FALCONARA,0-20000-0-16191,16191,Land (fixed),43.6166666667,13.3602777778,15,,Italy,6,Operational,Operational,Piero Serra
LORETO,0-20000-0-16192,16192,Land (fixed),43.43,13.6036111111,196,,Italy,6,Operational,Silent,
MONTE CALAMITA,0-20000-0-16197,16197,Land (fixed),42.7311111111,10.3955555556,396,,Italy,6,Operational,Operational,Piero Serra
ISOLA D'ELBA,0-20000-0-16198,16198,Land (fixed),42.7311111111,10.3955555556,396,,Italy,6,Operational,Unknown,
RADICOFANI,0-20000-0-16204,16204,Land (fixed),42.8961111111,11.7677777778,816,,Italy,6,Silent,Operational,Piero Serra
GROSSETO,0-20000-0-16206,16206,Land (fixed),42.7480555556,11.0588888889,5.4,,Italy,6,Operational,Operational,Piero Serra
FURBARA,0-20000-0-16210,16210,Land (fixed),41.9969444444,12.0163888889,11,,Italy,6,Operational,Unknown,
CIVITAVECCHIA,0-20000-0-16214,16214,Land (fixed),42.0327777778,11.8330555556,3.48,,Italy,6,Operational,Partly operational,Piero Serra
VITERBO (16216-0),0-20000-0-16216,16216,Land (fixed),42.4383333333,12.055,300,,Italy,6,Operational,Operational,Piero Serra
ORTE,0-20000-0-16217,16217,Land (fixed),42.4713888889,12.3422222222,74,,Italy,6,Operational,Operational,Piero Serra
VITERBO (16218-0),0-20000-0-16218,16218,Land (fixed),42.4408333333,12.0577777778,309,,Italy,6,Silent,Unknown,Piero Serra
MONTE TERMINILLO,0-20000-0-16219,16219,Land (fixed),42.4666666667,12.9833333333,1874,,Italy,6,Operational,Operational,Piero Serra
RIETI,0-20000-0-16221,16221,Land (fixed),42.4266666667,12.85,390,,Italy,6,Operational,Unknown,
VIGNA DI VALLE,0-20000-0-16224,16224,Land (fixed),42.0802777778,12.2113888889,260,,Italy,6,Operational,Operational,Lucia Cappelletti
L'AQUILA,0-20000-0-16226,16226,Land (fixed),42.3755555556,13.3272222222,668,,Italy,6,Operational,Unknown,
FUCINO,0-20000-0-16227,16227,Land (fixed),41.9783333333,13.6052777778,649,,Italy,6,Operational,Partly operational,Piero Serra
PESCARA,0-20000-0-16230,16230,Land (fixed),42.4372222222,14.1872222222,15,,Italy,6,Operational,Operational,Piero Serra
S. GIOVANNI TEATINO,0-20000-0-16231,16231,Land (fixed),42.4188888889,14.2113888889,179,,Italy,6,Operational,Operational,Piero Serra
TERMOLI,0-20000-0-16232,16232,Land (fixed),42.0041666667,14.9963888889,16,,Italy,6,Operational,Operational,Piero Serra
GUIDONIA (16233-0),0-20000-0-16233,16233,Land (fixed),41.9886111111,12.7375,89,,Italy,6,Operational,Unknown,
GUIDONIA (16234-0),0-20000-0-16234,16234,Land (fixed),41.9966666667,12.7344444444,88.1,,Italy,6,Operational,Partly operational,Piero Serra
ROMA/URBE,0-20000-0-16235,16235,Land (fixed),41.9519444444,12.5008333333,17,,Italy,6,Operational,Unknown,
ROMA/CENTOCELLE,0-20000-0-16238,16238,Land (fixed),41.8680555556,12.5577777778,52,,Italy,6,Operational,Unknown,
ROMA/CIAMPINO,0-20000-0-16239,16239,Land (fixed),41.8080555556,12.5847222222,129,,Italy,6,Operational,Operational,Piero Serra
ROMA/FIUMICINO,0-20000-0-16242,16242,Land (fixed),41.8002777778,12.2388888889,4,,Italy,6,Operational,Operational,Piero Serra
LATINA (16243-0),0-20000-0-16243,16243,Land (fixed),41.5458333333,12.9097222222,25,,Italy,6,Operational,Partly operational,Piero Serra
FROSINONE,0-20000-0-16244,16244,Land (fixed),41.645,13.2994444444,192.5,,Italy,6,Operational,Partly operational,Piero Serra
PRATICA DI MARE,0-20000-0-16245,16245,Land (fixed),41.6555555556,12.4480555556,12.3,,Italy,6,Operational,Operational,Piero Serra
LATINA (16247-0),0-20000-0-16247,16247,Land (fixed),41.5447222222,12.9105555556,25,,Italy,6,Silent,Unknown,Piero Serra
TORRE OLEVOLA,0-20000-0-16249,16249,Land (fixed),41.2508333333,13.1186111111,2,,Italy,6,Operational,Unknown,
CAMPOBASSO,0-20000-0-16252,16252,Land (fixed),41.5636111111,14.655,793,,Italy,6,Operational,Operational,Piero Serra
GRAZZANISE,0-20000-0-16253,16253,Land (fixed),41.0605555556,14.0788888889,9.19,,Italy,6,Operational,Operational,Piero Serra
MONTE S. ANGELO,0-20000-0-16258,16258,Land (fixed),41.7083333333,15.9477777778,838,,Italy,6,Operational,Partly operational,
AMENDOLA,0-20000-0-16261,16261,Land (fixed),41.5380555556,15.7138888889,57,,Italy,6,Operational,Operational,Piero Serra
TREVICO,0-20000-0-16263,16263,Land (fixed),41.0466666667,15.2327777778,1085,,Italy,6,Operational,Operational,Piero Serra
VIESTE,0-20000-0-16266,16266,Land (fixed),41.8880555556,16.1647222222,3,,Italy,6,Operational,Partly operational,Piero Serra
BARI/PALESE,0-20000-0-16270,16270,Land (fixed),41.1380555556,16.765,57,,Italy,6,Operational,Operational,Piero Serra
BARI,0-20000-0-16271,16271,Land (fixed),41.1205555556,16.8836111111,10,,Italy,6,Operational,Silent,Piero Serra
PONZA,0-20000-0-16280,16280,Land (fixed),40.9119444444,12.9569444444,184,,Italy,6,Operational,Operational,Piero Serra
CASERTA,0-20000-0-16288,16288,Land (fixed),41.0708333333,14.3236111111,61,,Italy,6,Operational,Partly operational,Piero Serra
NAPOLI/CAPODICHINO,0-20000-0-16289,16289,Land (fixed),40.8844444444,14.2908333333,90,,Italy,6,Operational,Operational,Piero Serra
CAPRI,0-20000-0-16294,16294,Land (fixed),40.5577777778,14.2019444444,160,,Italy,6,Operational,Operational,Piero Serra
CAPO PALINURO,0-20000-0-16310,16310,Land (fixed),40.025,15.2802777778,184,,Italy,6,Operational,Partly operational,Piero Serra
GIOIA DEL COLLE,0-20000-0-16312,16312,Land (fixed),40.7661111111,16.9352777778,345,,Italy,6,Operational,Operational,Piero Serra
MATERA,0-20000-0-16314,16314,Land (fixed),40.6752777778,16.6561111111,496,,Italy,6,Operational,Partly operational,Piero Serra
LATRONICO (16316-0),0-20000-0-16316,16316,Land (fixed),40.0875,16.0136111111,888,,Italy,6,Operational,Silent,Piero Serra
LATRONICO (16317-0),0-20000-0-16317,16317,Land (fixed),40.0875,16.0136111111,895,,Italy,6,Operational,Unknown,
MARTINA FRANCA,0-20000-0-16318,16318,Land (fixed),40.6427777778,17.2061111111,413,,Italy,6,Operational,Silent,Piero Serra
MARINA DI GINOSA,0-20000-0-16325,16325,Land (fixed),40.4244444444,16.8866666667,1.3,,Italy,6,Operational,Operational,Piero Serra
BONIFATI (16336-0),0-20000-0-16336,16336,Land (fixed),39.5847222222,15.8908333333,484,,Italy,6,Operational,Unknown,
BONIFATI (16337-0),0-20000-0-16337,16337,Land (fixed),39.5847222222,15.8913888889,484,,Italy,6,Operational,Operational,
PUNTA ALICE,0-20000-0-16342,16342,Land (fixed),39.3986111111,17.1527777778,3,,Italy,6,Operational,Unknown,
MONTE SCURO,0-20000-0-16344,16344,Land (fixed),39.3305555556,16.3963888889,1669,,Italy,6,Operational,Operational,Piero Serra
CROTONE,0-20000-0-16350,16350,Land (fixed),38.9966666667,17.0791666667,159,,Italy,6,Operational,Unknown,
LAMEZIA TERME,0-20000-0-16362,16362,Land (fixed),38.9083333333,16.2416666667,12,,Italy,6,Operational,Operational,Piero Serra
SERRALTA DI S. VITO,0-20000-0-16364,16364,Land (fixed),38.7555555556,16.3683333333,996,,Italy,6,Operational,Silent,Piero Serra
CATANZARO,0-20000-0-16365,16365,Land (fixed),38.9052777778,16.5952777778,332,,Italy,6,Operational,Silent,Piero Serra
USTICA,0-20000-0-16400,16400,Land (fixed),38.7072222222,13.1772222222,242,,Italy,6,Operational,Operational,Piero Serra
PALERMO PUNTA RAISI,0-20000-0-16405,16405,Land (fixed),38.1819444444,13.0994444444,20,,Italy,6,Operational,Operational,Piero Serra
PALERMO BOCCADIFALCO,0-20000-0-16409,16409,Land (fixed),38.1119444444,13.3116666667,120,,Italy,6,Operational,Unknown,
ISOLA SALINA,0-20000-0-16415,16415,Land (fixed),38.58,14.8716666667,45,,Italy,6,Operational,Partly operational,Piero Serra
ISOLA STROMBOLI,0-20000-0-16416,16416,Land (fixed),38.8025,15.2341666667,75,,Italy,6,Operational,Partly operational,
